Time,from_ingress_queue_size,to_ingress_queue_size
2381.47,1,nan
2382.21,0,nan
3382.21,0,1
3383.21,0,0
6767.43,1,0
6768.17,0,0
7768.17,0,1
7769.17,0,0
11170.1,1,0
11170.8,0,0
12170.8,0,1
12171.8,0,0
15589.1,1,0
15589.9,0,0
16589.9,0,1
16590.9,0,0
20024.3,1,0
20025,0,0
21025,0,1
21026,0,0
24475.2,1,0
24475.9,0,0
25475.9,0,1
25476.9,0,0
28941.6,1,0
28942.3,0,0
29942.3,0,1
29943.3,0,0
33423.1,1,0
33423.9,0,0
34423.9,0,1
34424.9,0,0
37919.6,1,0
37920.3,0,0
38920.3,0,1
38921.3,0,0
42430.6,1,0
42431.4,0,0
43431.4,0,1
43432.4,0,0
46956,1,0
46956.7,0,0
47956.7,0,1
47957.7,0,0
51495.3,1,0
51496.1,0,0
52496.1,0,1
52497.1,0,0
56048.4,1,0
56049.2,0,0
57049.2,0,1
57050.2,0,0
60615,1,0
60615.8,0,0
61615.8,0,1
61616.8,0,0
65194.8,1,0
65195.6,0,0
66195.6,0,1
66196.6,0,0
69787.6,1,0
69788.3,0,0
70788.3,0,1
70789.3,0,0
74393,1,0
74393.7,0,0
75393.7,0,1
75394.7,0,0
79010.8,1,0
79011.6,0,0
80011.6,0,1
80012.6,0,0
83640.8,1,0
83641.6,0,0
84641.6,0,1
84642.6,0,0
88282.8,1,0
88283.5,0,0
89283.5,0,1
89284.5,0,0
92936.4,1,0
92937.1,0,0
93937.1,0,1
93938.1,0,0
97601.4,1,0
97602.2,0,0
98602.2,0,1
98603.2,0,0
102278,1,0
102278,0,0
103278,0,1
103279,0,0
106965,1,0
106966,0,0
107966,0,1
107967,0,0
111663,1,0
111664,0,0
112664,0,1
112665,0,0
116371,1,0
116372,0,0
117372,0,1
117373,0,0
121090,1,0
121091,0,0
122091,0,1
122092,0,0
125819,1,0
125820,0,0
126820,0,1
126821,0,0
130557,1,0
130558,0,0
131558,0,1
131559,0,0
