Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
21608.8,1,0
21608.8,0,0
22353.8,1,0
22353.9,0,0
23097.9,1,0
23097.9,0,0
34274.7,1,0
34274.8,0,0
35763.9,1,0
35763.9,0,0
36512.9,1,0
36513,0,0
37258,1,0
37258.1,0,0
37999,1,0
37999.1,0,0
39493.2,1,0
39493.2,0,0
40983.3,1,0
40983.3,0,0
42473.4,1,0
42473.5,0,0
52156.1,1,0
52156.2,0,0
52901.2,1,0
52901.3,0,0
53645.3,1,0
53645.3,0,0
56629.5,1,0
56629.6,0,0
58115.6,1,0
58115.7,0,0
64822.1,1,0
64822.2,0,0
65567.2,1,0
65567.3,0,0
66312.2,1,0
66312.3,0,0
67060.3,1,0
67060.4,0,0
68546.4,1,0
68546.5,0,0
77488.1,1,0
77488.2,0,0
78977.2,1,0
78977.3,0,0
79721.3,1,0
79721.4,0,0
89409,1,0
89409.1,0,0
90898.2,1,0
90898.2,0,0
91642.2,1,0
91642.3,0,0
104310,1,0
104310,0,0
105055,1,0
105055,0,0
106544,1,0
106544,0,0
107288,1,0
107289,0,0
116976,1,0
116976,0,0
118465,1,0
118465,0,0
119211,1,0
119211,0,0
120700,1,0
120701,0,0
121450,1,0
121450,0,0
131877,1,0
131877,0,0
133370,1,0
133371,0,0
134116,1,0
134116,0,0
134857,1,0
134857,0,0
135602,1,0
135602,0,0
136351,1,0
136351,0,0
146779,1,0
146779,0,0
147524,1,0
147524,0,0
148268,1,0
148268,0,0
159444,1,0
159445,0,0
160190,1,0
160190,0,0
160938,1,0
160938,0,0
161683,1,0
161683,0,0
171365,1,0
171366,0,0
172110,1,0
172111,0,0
173600,1,0
173600,0,0
182541,1,0
182541,0,0
183286,1,0
183286,0,0
184030,1,0
184030,0,0
184775,1,0
184776,0,0
195952,1,0
195952,0,0
196697,1,0
196697,0,0
197441,1,0
197442,0,0
198191,1,0
198191,0,0
198936,1,0
198936,0,0
210854,1,0
210854,0,0
211602,1,0
211602,0,0
212347,1,0
212347,0,0
222774,1,0
222775,0,0
223519,1,0
223520,0,0
235440,1,0
235440,0,0
236185,1,0
236186,0,0
246617,1,0
246617,0,0
248105,1,0
248105,0,0
248851,1,0
248852,0,0
257793,1,0
257793,0,0
259281,1,0
259281,0,0
260030,1,0
260030,0,0
260775,1,0
260775,0,0
271951,1,0
271951,0,0
272693,1,0
272693,0,0
283869,1,0
283869,0,0
284614,1,0
284614,0,0
291320,1,0
291320,0,0
292065,1,0
292065,0,0
298770,1,0
298770,0,0
299515,1,0
299515,0,0
308456,1,0
308456,0,0
309201,1,0
309201,0,0
310690,1,0
310690,0,0
320380,1,0
320380,0,0
321122,1,0
321122,0,0
322611,1,0
322611,0,0
323359,1,0
323359,0,0
331553,1,0
331553,0,0
332298,1,0
332298,0,0
333791,1,0
333791,0,0
334535,1,0
334535,0,0
335281,1,0
335281,0,0
341984,1,0
341984,0,0
