Time,from_ingress_queue_size,to_ingress_queue_size
1190.73,256,nan
1383.47,512,nan
1572.2,256,nan
1953.67,0,nan
2572.2,0,0
2953.67,0,0
5765.43,256,0
6146.9,0,0
6149.9,256,0
6531.37,0,0
7146.9,0,0
7531.37,0,0
10453.9,256,0
10835.4,0,0
10842.9,256,0
11224.4,0,0
11835.4,0,0
12224.4,0,0
15256.3,256,0
15637.8,0,0
15651.6,256,0
16033.1,0,0
16637.8,0,0
17033.1,0,0
20172.9,256,0
20554.4,0,0
20576,256,0
20957.5,0,0
21554.4,0,0
21957.5,0,0
25203.7,256,0
25585.2,0,0
25616.3,256,0
25997.8,0,0
26585.2,0,0
26997.8,0,0
30348.6,256,0
30730,0,0
30772.4,256,0
31153.9,0,0
31730,0,0
32153.9,0,0
35607.4,256,0
35988.9,0,0
36044.3,256,0
36425.7,0,0
36988.9,0,0
37425.7,0,0
40980,256,0
41361.5,0,0
41431.7,256,0
41813.1,0,0
42361.5,0,0
42813.1,0,0
46466.1,256,0
46847.6,0,0
46934.3,256,0
47315.8,0,0
47847.6,0,0
48315.8,0,0
52065.2,256,0
52446.7,0,0
52551.9,256,0
52933.3,0,0
53446.7,0,0
53933.3,0,0
57777,256,0
58158.4,0,0
58283.9,256,0
58665.3,0,0
59158.4,0,0
59665.3,0,0
63600.7,256,0
63982.2,0,0
64129.7,256,0
64511.2,0,0
64982.2,0,0
65511.2,0,0
69535.9,256,0
69917.4,0,0
70088.9,256,0
70470.4,0,0
70917.4,0,0
71470.4,0,0
75581.8,256,0
75963.3,0,0
76160.7,256,0
76542.2,0,0
76963.3,0,0
77542.2,0,0
81737.6,256,0
82119.1,0,0
82344.3,256,0
82725.8,0,0
83119.1,0,0
83725.8,0,0
88002.5,256,0
88384,0,0
88638.9,256,0
89020.4,0,0
89384,0,0
90020.4,0,0
94375.6,256,0
94757.1,0,0
95043.6,256,0
95425.1,0,0
95757.1,0,0
96425.1,0,0
100856,256,0
101237,0,0
101557,256,0
101939,0,0
102237,0,0
102939,0,0
107442,256,0
107824,0,0
108179,256,0
108561,0,0
108824,0,0
109561,0,0
114134,256,0
114515,0,0
114908,256,0
115290,0,0
115515,0,0
116290,0,0
120929,256,0
121311,0,0
121743,256,0
122124,0,0
122311,0,0
123124,0,0
127828,256,0
128209,0,0
128682,256,0
129064,0,0
129209,0,0
130064,0,0
134827,256,0
135209,0,0
135725,256,0
136106,0,0
136209,0,0
137106,0,0
141927,256,0
142309,0,0
142870,256,0
143251,0,0
143309,0,0
144251,0,0
149126,256,0
149508,0,0
150115,256,0
150497,0,0
150508,0,0
151497,0,0
156423,256,0
156804,0,0
157460,256,0
157804,256,0
157842,0,0
158842,0,0
163815,256,0
164197,0,0
164903,256,0
165197,256,0
165285,0,0
166285,0,0
171302,256,0
171684,0,0
172443,256,0
172684,256,0
172824,0,0
173824,0,0
178883,256,0
179264,0,0
180077,256,0
180264,256,0
180459,0,0
181459,0,0
186555,256,0
186937,0,0
187805,256,0
187937,256,0
188187,0,0
189187,0,0
194318,256,0
194699,0,0
195626,256,0
195699,256,0
196007,0,0
197007,0,0
202169,256,0
202551,0,0
203536,256,0
203551,256,0
203918,0,0
204918,0,0
210108,256,0
210489,0,0
211489,0,0
211536,256,0
211917,0,0
212917,0,0
218132,256,0
218513,0,0
219513,0,0
219622,256,0
220004,0,0
221004,0,0
226240,256,0
226622,0,0
227622,0,0
227795,256,0
228176,0,0
229176,0,0
234431,256,0
234812,0,0
235812,0,0
236052,256,0
236433,0,0
237433,0,0
242703,256,0
243084,0,0
244084,0,0
244391,256,0
244772,0,0
245772,0,0
251054,256,0
251435,0,0
252435,0,0
252811,256,0
253192,0,0
254192,0,0
259483,256,0
259864,0,0
260864,0,0
261310,256,0
261692,0,0
262692,0,0
267988,256,0
268369,0,0
269369,0,0
269887,256,0
270269,0,0
271269,0,0
276567,256,0
276949,0,0
277949,0,0
278540,256,0
278922,0,0
279922,0,0
285220,256,0
285602,0,0
286602,0,0
287268,256,0
287650,0,0
288650,0,0
293944,256,0
294326,0,0
295326,0,0
296069,256,0
296450,0,0
