Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1,512,nan
190.735,256,nan
381.47,0,nan
1190.73,0,0
1381.47,0,256
1383.47,0,0
4574.69,256,0
4765.43,0,0
4957.16,256,0
5147.9,0,0
5765.43,0,0
6147.9,0,256
6149.9,0,0
9263.16,256,0
9453.89,0,0
9650.2,256,0
9840.94,0,0
10453.9,0,0
10840.9,0,256
10842.9,0,0
14065.6,256,0
14256.3,0,0
14458.8,256,0
14649.6,0,0
15256.3,0,0
15649.6,0,256
15651.6,0,0
18982.2,256,0
19172.9,0,0
19383.3,256,0
19574,0,0
20172.9,0,0
20574,0,256
20576,0,0
24012.9,256,0
24203.7,0,0
24423.5,256,0
24614.3,0,0
25203.7,0,0
25614.3,0,256
25616.3,0,0
29157.8,256,0
29348.6,0,0
29579.7,256,0
29770.4,0,0
30348.6,0,0
30770.4,0,256
30772.4,0,0
34416.7,256,0
34607.4,0,0
34851.5,256,0
35042.3,0,0
35607.4,0,0
36042.3,0,256
36044.3,0,0
39789.3,256,0
39980,0,0
40238.9,256,0
40429.7,0,0
40980,0,0
41429.7,0,256
41431.7,0,0
45275.4,256,0
45466.1,0,0
45741.6,256,0
45932.3,0,0
46466.1,0,0
46932.3,0,256
46934.3,0,0
50874.5,256,0
51065.2,0,0
51359.1,256,0
51549.9,0,0
52065.2,0,0
52549.9,0,256
52551.9,0,0
56586.2,256,0
56777,0,0
57091.1,256,0
57281.9,0,0
57777,0,0
58281.9,0,256
58283.9,0,0
62410,256,0
62600.7,0,0
62937,256,0
63127.7,0,0
63600.7,0,0
64127.7,0,256
64129.7,0,0
68345.2,256,0
68535.9,0,0
68896.2,256,0
69086.9,0,0
69535.9,0,0
70086.9,0,256
70088.9,0,0
74391.1,256,0
74581.8,0,0
74968,256,0
75158.7,0,0
75581.8,0,0
76158.7,0,256
76160.7,0,0
80546.9,256,0
80737.6,0,0
81151.6,256,0
81342.3,0,0
81737.6,0,0
82342.3,0,256
82344.3,0,0
86811.8,256,0
87002.5,0,0
87446.2,256,0
87636.9,0,0
88002.5,0,0
88636.9,0,256
88638.9,0,0
93184.9,256,0
93375.6,0,0
93850.8,256,0
94041.6,0,0
94375.6,0,0
95041.6,0,256
95043.6,0,0
99665.1,256,0
99855.9,0,0
100365,256,0
100555,0,0
100856,0,0
101555,0,256
101557,0,0
106252,256,0
106442,0,0
106987,256,0
107177,0,0
107442,0,0
108177,0,256
108179,0,0
112943,256,0
113134,0,0
113715,256,0
113906,0,0
114134,0,0
114906,0,256
114908,0,0
119739,256,0
119929,0,0
120550,256,0
120741,0,0
120929,0,0
121741,0,256
121743,0,0
126637,256,0
126828,0,0
127489,256,0
127680,0,0
127828,0,0
128680,0,256
128682,0,0
133637,256,0
133827,0,0
134532,256,0
134723,0,0
134827,0,0
135723,0,256
135725,0,0
140737,256,0
140927,0,0
141677,256,0
141868,0,0
141927,0,0
142868,0,256
142870,0,0
147935,256,0
148126,0,0
148923,256,0
149113,0,0
149126,0,0
150113,0,256
150115,0,0
155232,256,0
155423,0,0
156268,256,0
156423,256,0
156458,0,0
157458,0,256
157460,0,0
162624,256,0
162815,0,0
163711,256,0
163815,256,0
163901,0,0
164901,0,256
164903,0,0
170112,256,0
170302,0,0
171250,256,0
171302,256,0
171441,0,0
172441,0,256
172443,0,0
177692,256,0
177883,0,0
178883,0,0
178885,256,0
179075,0,0
180075,0,256
180077,0,0
185364,256,0
185555,0,0
186555,0,0
186613,256,0
186803,0,0
187803,0,256
187805,0,0
193127,256,0
193318,0,0
194318,0,0
194433,256,0
194624,0,0
195624,0,256
195626,0,0
200978,256,0
201169,0,0
202169,0,0
202343,256,0
202534,0,0
203534,0,256
203536,0,0
208917,256,0
209108,0,0
210108,0,0
210343,256,0
210534,0,0
211534,0,256
211536,0,0
216941,256,0
217132,0,0
218132,0,0
218430,256,0
218620,0,0
219620,0,256
219622,0,0
225049,256,0
225240,0,0
226240,0,0
226602,256,0
226793,0,0
227793,0,256
227795,0,0
233240,256,0
233431,0,0
234431,0,0
234859,256,0
235050,0,0
236050,0,256
236052,0,0
241512,256,0
241703,0,0
242703,0,0
243198,256,0
243389,0,0
244389,0,256
244391,0,0
249863,256,0
250054,0,0
251054,0,0
251618,256,0
251809,0,0
252809,0,256
252811,0,0
258292,256,0
258483,0,0
259483,0,0
260117,256,0
260308,0,0
261308,0,256
261310,0,0
266797,256,0
266988,0,0
267988,0,0
268695,256,0
268885,0,0
269885,0,256
269887,0,0
275377,256,0
275567,0,0
276567,0,0
277348,256,0
277538,0,0
278538,0,256
278540,0,0
284030,256,0
284220,0,0
285220,0,0
286075,256,0
286266,0,0
287266,0,256
287268,0,0
292754,256,0
292944,0,0
293944,0,0
294876,256,0
295067,0,0
296067,0,256
296069,0,0
301548,256,0
301739,0,0
302739,0,0
303748,256,0
303938,0,0
304938,0,256
304940,0,0
310410,256,0
310601,0,0
311601,0,0
312689,256,0
312880,0,0
313880,0,256
313882,0,0
319340,256,0
319530,0,0
320530,0,0
321699,256,0
321889,0,0
322889,0,256
322891,0,0
328334,256,0
328525,0,0
329525,0,0
330775,256,0
330965,0,0
331965,0,0
337393,256,0
337583,0,0
338583,0,0
339907,256,0
340097,0,0
341097,0,0
346513,256,0
346704,0,0
347704,0,0
349099,256,0
349290,0,0
350290,0,0
355695,256,0
355885,0,0
356885,0,0
358351,256,0
358542,0,0
359542,0,0
364935,256,0
365126,0,0
366126,0,0
367660,256,0
367851,0,0
368851,0,0
374234,256,0
374425,0,0
375425,0,0
377026,256,0
377217,0,0
378217,0,0
383589,256,0
383780,0,0
384780,0,0
386446,256,0
386637,0,0
387637,0,0
392999,256,0
393190,0,0
394190,0,0
395920,256,0
396110,0,0
397110,0,0
402463,256,0
402653,0,0
403653,0,0
405445,256,0
405636,0,0
406636,0,0
411979,256,0
412169,0,0
413169,0,0
415022,256,0
415212,0,0
416212,0,0
421545,256,0
421736,0,0
422736,0,0
424647,256,0
424838,0,0
425838,0,0
431162,256,0
431353,0,0
432353,0,0
434321,256,0
434512,0,0
435512,0,0
440827,256,0
441018,0,0
442018,0,0
444042,256,0
444232,0,0
445232,0,0
450539,256,0
450729,0,0
451729,0,0
453808,256,0
453998,0,0
454998,0,0
460296,256,0
460487,0,0
461487,0,0
463618,256,0
463809,0,0
464809,0,0
470098,256,0
470289,0,0
471289,0,0
473472,256,0
473662,0,0
474662,0,0
479944,256,0
480135,0,0
481135,0,0
483367,256,0
483558,0,0
484558,0,0
489832,256,0
490022,0,0
491022,0,0
493303,256,0
493494,0,0
494494,0,0
499760,256,0
499951,0,0
500951,0,0
503279,256,0
503470,0,0
504470,0,0
509729,256,0
509919,0,0
510919,0,0
513293,256,0
513484,0,0
514484,0,0
519736,256,0
519927,0,0
520927,0,0
523345,256,0
523536,0,0
524536,0,0
529781,256,0
529972,0,0
530972,0,0
533433,256,0
533624,0,0
534624,0,0
539862,256,0
540053,0,0
541053,0,0
543557,256,0
543748,0,0
544748,0,0
549979,256,0
550170,0,0
551170,0,0
553715,256,0
553906,0,0
554906,0,0
560131,256,0
560322,0,0
561322,0,0
563906,256,0
564097,0,0
565097,0,0
570316,256,0
570507,0,0
571507,0,0
574130,256,0
574321,0,0
575321,0,0
580534,256,0
580725,0,0
581725,0,0
584385,256,0
584576,0,0
585576,0,0
590783,256,0
590974,0,0
591974,0,0
594671,256,0
594862,0,0
595862,0,0
601063,256,0
601254,0,0
602254,0,0
604986,256,0
605177,0,0
606177,0,0
611373,256,0
611564,0,0
612564,0,0
615331,256,0
615521,0,0
616521,0,0
621712,256,0
621903,0,0
622903,0,0
625703,256,0
625893,0,0
626893,0,0
632079,256,0
632270,0,0
633270,0,0
636102,256,0
636293,0,0
637293,0,0
642473,256,0
642664,0,0
643664,0,0
646527,256,0
646718,0,0
647718,0,0
652893,256,0
653084,0,0
654084,0,0
656978,256,0
657169,0,0
658169,0,0
663340,256,0
663530,0,0
664530,0,0
667454,256,0
667645,0,0
668645,0,0
673811,256,0
674001,0,0
675001,0,0
677953,256,0
678144,0,0
679144,0,0
684306,256,0
684497,0,0
685497,0,0
688476,256,0
688667,0,0
689667,0,0
694824,256,0
695015,0,0
696015,0,0
699022,256,0
699212,0,0
700212,0,0
705366,256,0
705556,0,0
706556,0,0
709589,256,0
709780,0,0
710780,0,0
715929,256,0
716120,0,0
717120,0,0
720177,256,0
720368,0,0
721368,0,0
726513,256,0
726704,0,0
727704,0,0
730786,256,0
730977,0,0
731977,0,0
737119,256,0
737309,0,0
738309,0,0
741415,256,0
741606,0,0
742606,0,0
747744,256,0
747935,0,0
748935,0,0
752063,256,0
752254,0,0
753254,0,0
758388,256,0
758579,0,0
759579,0,0
762730,256,0
762921,0,0
763921,0,0
769052,256,0
769243,0,0
770243,0,0
773415,256,0
773606,0,0
774606,0,0
779733,256,0
779924,0,0
780924,0,0
784118,256,0
784309,0,0
785309,0,0
790433,256,0
790623,0,0
791623,0,0
794837,256,0
795028,0,0
796028,0,0
801149,256,0
801340,0,0
802340,0,0
805573,256,0
805764,0,0
806764,0,0
811882,256,0
812073,0,0
813073,0,0
816325,256,0
816516,0,0
817516,0,0
822631,256,0
822822,0,0
823822,0,0
827093,256,0
827283,0,0
828283,0,0
833395,256,0
833586,0,0
834586,0,0
837875,256,0
838066,0,0
839066,0,0
844175,256,0
844366,0,0
845366,0,0
848672,256,0
848862,0,0
849862,0,0
854969,256,0
855160,0,0
856160,0,0
859483,256,0
859673,0,0
860673,0,0
865777,256,0
865968,0,0
866968,0,0
870307,256,0
870498,0,0
871498,0,0
876599,256,0
876790,0,0
877790,0,0
881145,256,0
881335,0,0
882335,0,0
887434,256,0
887625,0,0
888625,0,0
891995,256,0
892186,0,0
893186,0,0
898282,256,0
898473,0,0
899473,0,0
902857,256,0
903048,0,0
904048,0,0
909143,256,0
909333,0,0
910333,0,0
913732,256,0
913923,0,0
914923,0,0
920015,256,0
920206,0,0
921206,0,0
924618,256,0
924809,0,0
925809,0,0
930899,256,0
931090,0,0
932090,0,0
935515,256,0
935706,0,0
