Time,from_ingress_queue_size,to_ingress_queue_size
1909.35,1,nan
1916.8,0,nan
1917.8,0,1
1918.8,0,0
2865.02,1,0
2872.47,0,0
2873.47,0,1
2874.47,0,0
3818.7,1,0
3826.15,0,0
3827.15,0,1
3828.15,0,0
4772.37,1,0
4779.82,0,0
4780.82,0,1
4781.82,0,0
5726.05,1,0
5733.5,0,0
5734.5,0,1
5735.5,0,0
6679.72,1,0
6687.17,0,0
6688.17,0,1
6689.17,0,0
7633.39,1,0
7640.85,0,0
7641.85,0,1
7642.85,0,0
8587.07,1,0
8594.52,0,0
8595.52,0,1
8596.52,0,0
9540.74,1,0
9548.19,0,0
9549.19,0,1
9550.19,0,0
10494.4,1,0
10501.9,0,0
10502.9,0,1
10503.9,0,0
11448.1,1,0
11455.5,0,0
11456.5,0,1
11457.5,0,0
12401.8,1,0
12409.2,0,0
12410.2,0,1
12411.2,0,0
13355.4,1,0
13362.9,0,0
13363.9,0,1
13364.9,0,0
14309.1,1,0
14316.6,0,0
14317.6,0,1
14318.6,0,0
15262.8,1,0
15270.2,0,0
15271.2,0,1
15272.2,0,0
16216.5,1,0
16223.9,0,0
16224.9,0,1
16225.9,0,0
17170.1,1,0
17177.6,0,0
17178.6,0,1
17179.6,0,0
18123.8,1,0
18131.3,0,0
18132.3,0,1
18133.3,0,0
19077.5,1,0
19084.9,0,0
19085.9,0,1
19086.9,0,0
20031.2,1,0
20038.6,0,0
20039.6,0,1
20040.6,0,0
20984.8,1,0
20992.3,0,0
20993.3,0,1
20994.3,0,0
21938.5,1,0
21946,0,0
21947,0,1
21948,0,0
22892.2,1,0
22899.6,0,0
22900.6,0,1
22901.6,0,0
23845.9,1,0
23853.3,0,0
23854.3,0,1
23855.3,0,0
24799.5,1,0
24807,0,0
24808,0,1
24809,0,0
25753.2,1,0
25760.7,0,0
25761.7,0,1
25762.7,0,0
26706.9,1,0
26714.3,0,0
26715.3,0,1
26716.3,0,0
27660.6,1,0
27668,0,0
27669,0,1
27670,0,0
28614.2,1,0
28621.7,0,0
28622.7,0,1
28623.7,0,0
29567.9,1,0
29575.4,0,0
29576.4,0,1
29577.4,0,0
30521.6,1,0
30529,0,0
30530,0,1
30531,0,0
31475.3,1,0
31482.7,0,0
31483.7,0,0
