Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
190.735,0,nan
1190.73,0,0
2000,256,0
2190.73,0,0
3190.73,0,256
3191.73,0,0
4386.96,256,0
4577.69,0,0
5577.69,0,0
8772.92,256,0
8963.65,0,0
9963.65,0,0
13158.9,256,0
13159.9,512,0
13349.6,256,0
13540.3,0,0
14349.6,0,0
14540.3,0,256
14541.3,0,0
17544.8,256,0
17735.6,256,0
17926.3,0,0
18735.6,0,0
18926.3,0,256
18927.3,0,0
21930.8,256,0
22121.5,256,0
22312.3,0,0
23121.5,0,0
23312.3,0,256
23313.3,0,0
26316.8,256,0
26317.8,512,0
26507.5,512,0
26698.2,256,0
26889,0,0
27507.5,0,0
27698.2,0,256
27699.2,0,0
27889,0,256
27890,0,0
30702.7,256,0
30893.5,256,0
31084.2,256,0
31274.9,0,0
31893.5,0,0
32084.2,0,256
32085.2,0,0
32274.9,0,256
32275.9,0,0
35088.7,256,0
35279.4,256,0
35470.1,256,0
35471.1,512,0
35660.9,256,0
35851.6,0,0
36279.4,0,0
36470.1,0,256
36471.1,0,0
36660.9,0,256
36661.9,0,0
36851.6,0,256
36852.6,0,0
39474.6,256,0
39665.4,256,0
39856.1,256,0
40046.8,256,0
40237.6,0,0
40665.4,0,0
40856.1,0,256
40857.1,0,0
41046.8,0,256
41047.8,0,0
41237.6,0,256
41238.6,0,0
43860.6,256,0
44051.3,256,0
44242.1,256,0
44432.8,256,0
44623.5,0,0
45051.3,0,0
45242.1,0,256
45243.1,0,0
45432.8,0,256
45433.8,0,0
45623.5,0,256
45624.5,0,0
48246.6,256,0
48247.6,512,0
48437.3,512,0
48628,512,0
48818.8,512,0
49009.5,256,0
49200.2,0,0
49437.3,0,0
49628,0,256
49629,0,0
49818.8,0,256
49819.8,0,0
50009.5,0,256
50010.5,0,0
50200.2,0,256
50201.2,0,0
52632.5,256,0
52823.3,256,0
53014,256,0
53204.7,256,0
53395.5,256,0
53586.2,0,0
53823.3,0,0
54014,0,256
54015,0,0
54204.7,0,256
54205.7,0,0
54395.5,0,256
54396.5,0,0
54586.2,0,256
54587.2,0,0
57018.5,256,0
57209.2,256,0
57399.9,256,0
57400.9,512,0
57590.7,512,0
57781.4,512,0
57972.2,256,0
58162.9,0,0
58209.2,0,0
58399.9,0,256
58400.9,0,0
58590.7,0,256
58591.7,0,0
58781.4,0,256
58782.4,0,0
58972.2,0,256
58973.2,0,0
59162.9,0,256
59163.9,0,0
61404.4,256,0
61595.2,256,0
61785.9,256,0
61976.6,256,0
62167.4,256,0
62358.1,256,0
62548.8,0,0
62595.2,0,0
62785.9,0,256
62786.9,0,0
62976.6,0,256
62977.6,0,0
63167.4,0,256
63168.4,0,0
63358.1,0,256
63359.1,0,0
63548.8,0,256
63549.8,0,0
65790.4,256,0
65981.1,256,0
66171.9,256,0
66362.6,256,0
66553.3,256,0
66744.1,256,0
66934.8,0,0
66981.1,0,0
67171.9,0,256
67172.9,0,0
67362.6,0,256
67363.6,0,0
67553.3,0,256
67554.3,0,0
67744.1,0,256
67745.1,0,0
67934.8,0,256
67935.8,0,0
70176.4,256,0
70177.4,512,0
70367.1,512,0
70557.8,512,0
70748.6,512,0
70939.3,512,0
71130,512,0
71320.8,256,0
71367.1,256,0
71511.5,0,0
71557.8,0,256
71558.8,0,0
