Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
2000,10000,0
2240.32,20000,0
2241.32,30000,0
2745.06,20000,0
3490.12,10000,0
4235.17,0,10000
4239.17,0,0
6720.97,10000,0
6721.97,20000,0
7466.03,10000,10000
7467.03,10000,0
8211.09,0,0
9690.9,10000,0
10436,0,10000
10437,0,0
11179,10000,0
11924.1,0,10000
11925.1,0,0
22355.9,10000,0
23100.9,0,10000
23103.9,0,0
23845,10000,0
23846,20000,0
24590.1,10000,10000
24591.1,10000,0
25335.1,0,10000
25337,0,0
33527.8,10000,0
34272.8,0,10000
34278.7,0,0
35021.9,10000,0
35764.9,20000,0
35765.9,30000,0
35766.9,20000,10000
35767.9,20000,0
36512,10000,10000
36513,10000,0
37257.1,0,10000
37258,0,0
41728.4,10000,0
42473.5,0,10000
42474.5,0,0
43962.6,10000,0
44705.6,20000,0
44707.6,10000,10000
44708.6,10000,0
45451.7,20000,0
45452.7,10000,10000
45453.7,10000,0
46197.7,0,10000
46198.7,0,0
52899.3,10000,0
52900.3,20000,0
53644.3,10000,10000
53650.3,10000,0
54389.4,0,10000
54394.3,0,0
57371.6,10000,0
58116.7,0,10000
58121.6,0,0
64080.1,10000,0
64824.2,20000,0
64825.2,10000,10000
64826.2,10000,0
65570.3,0,10000
65571.3,0,0
67057.4,10000,0
67802.4,0,10000
67804.4,0,0
75996.1,10000,0
75997.1,20000,0
76741.1,20000,10000
76743.1,20000,0
77486.2,10000,10000
77491.1,10000,0
78231.2,0,10000
78236.2,0,0
78978.3,10000,0
79723.4,0,10000
79728.3,0,0
92391.3,10000,0
92392.3,20000,0
93136.4,10000,10000
93139.3,10000,0
93880.5,20000,0
93881.5,10000,10000
93882.5,10000,0
94626.5,0,10000
94627.5,0,0
102077,10000,0
102822,10000,10000
102824,10000,0
103567,0,10000
103568,0,0
104311,10000,0
104312,20000,0
105056,10000,10000
105057,10000,0
105801,0,10000
105802,0,0
113253,10000,0
113998,10000,10000
114000,10000,0
114743,0,10000
114744,0,0
115487,10000,0
116232,0,10000
116233,0,0
116977,10000,0
116978,20000,0
117722,10000,10000
117723,10000,0
118467,0,10000
118469,0,0
128154,10000,0
128899,10000,10000
128901,10000,0
129644,0,10000
129645,0,0
147527,10000,0
147528,20000,0
148272,10000,10000
148274,10000,0
149017,0,10000
149018,0,0
157211,10000,0
157956,0,10000
157957,10000,10000
157959,10000,0
158703,0,10000
158704,0,0
169133,10000,0
169134,20000,0
169873,30000,0
169878,20000,10000
169879,20000,0
170623,10000,10000
170624,10000,0
171369,0,10000
171374,0,0
182543,10000,0
183288,0,10000
183289,10000,10000
183290,20000,10000
183291,20000,0
184034,10000,10000
184035,10000,0
184778,20000,0
184780,10000,10000
184785,10000,0
185525,0,10000
185531,0,0
195205,10000,0
195950,10000,10000
195952,10000,0
196695,0,10000
196700,0,0
197444,10000,0
198189,0,10000
198190,0,0
198934,10000,0
198935,20000,0
199679,10000,10000
199683,10000,0
200424,0,10000
200426,0,0
207876,10000,0
208621,10000,10000
208623,10000,0
209366,0,10000
209367,0,0
211602,10000,0
212347,0,10000
212349,0,0
219792,10000,0
220537,10000,10000
220539,10000,0
221282,0,10000
221284,0,0
222030,10000,0
222776,0,10000
222776,0,0
230968,10000,0
230969,20000,0
231713,10000,10000
231715,10000,0
232458,0,10000
232461,10000,10000
232463,10000,0
233206,0,10000
233208,0,0
233951,10000,0
234696,0,10000
234697,0,0
245128,10000,0
245873,0,10000
245876,0,0
246617,10000,0
246618,20000,0
247362,10000,10000
247366,10000,0
248107,0,10000
248109,0,0
260775,10000,0
261521,10000,10000
261522,10000,0
262264,20000,0
262266,10000,10000
262267,10000,0
263011,0,10000
263012,0,0
272695,10000,0
273440,0,10000
273441,10000,10000
273442,20000,10000
273443,20000,0
274185,30000,0
274187,20000,10000
274188,20000,0
274932,10000,10000
274933,10000,0
275677,0,10000
275683,0,0
285361,10000,0
286106,0,10000
286107,0,0
288343,10000,0
288344,20000,0
289088,10000,10000
289089,10000,0
289833,0,10000
289834,0,0
303239,10000,0
303984,0,10000
303986,0,0
304729,10000,0
305474,0,10000
305476,0,0
315160,10000,0
315905,0,10000
315907,0,0
317400,10000,0
317401,20000,0
318145,10000,10000
318147,10000,0
318890,0,10000
318891,0,0
324845,10000,0
325591,0,10000
325592,0,0
327831,10000,0
328571,20000,0
328572,30000,0
328576,20000,10000
328577,20000,0
329321,10000,10000
329322,10000,0
330066,0,10000
330072,0,0
335276,10000,0
336021,0,10000
336023,0,0
338262,10000,0
339007,0,10000
339008,0,0
339750,10000,0
340495,0,10000
340499,0,0
341240,10000,0
341985,0,10000
341986,0,0
347942,10000,0
347943,20000,0
348687,10000,10000
348688,10000,0
349432,0,10000
349433,0,0
350927,10000,0
351673,0,10000
351674,0,0
352416,10000,0
353161,0,10000
353165,0,0
353906,10000,0
354651,0,10000
354652,0,0
359119,10000,0
359864,0,10000
359868,10000,10000
359869,20000,10000
359870,20000,0
360613,10000,10000
360614,10000,0
361358,0,10000
361359,0,0
