Time,from_ingress_queue_size,to_ingress_queue_size
3053.76,1,nan
3054.5,0,1
3055.5,0,0
5055.76,1,0
5056.5,0,1
5057.5,0,0
6580.64,1,0
6581.38,0,1
6582.38,0,0
8107.52,1,0
8108.26,0,1
8109.26,0,0
9636.88,1,0
9637.63,0,1
9638.63,0,0
11166.8,1,0
11167.5,0,1
11168.5,0,0
12693.1,1,0
12693.9,0,1
12694.9,0,0
14220,1,0
14220.8,0,1
14221.8,0,0
15744.9,1,0
15745.6,0,1
15746.6,0,0
17271.8,1,0
17272.5,0,1
17273.5,0,0
18796.6,1,0
18797.4,0,1
18798.4,0,0
20323.5,1,0
20324.3,0,1
20325.3,0,0
21848.4,1,0
21849.2,0,1
21850.2,0,0
23375.3,1,0
23376,0,1
23377,0,0
24900.2,1,0
24900.9,0,1
24901.9,0,0
26427,1,0
26427.8,0,1
26428.8,0,0
27951.9,1,0
27952.7,0,1
27953.7,0,0
29478.8,1,0
29479.5,0,1
29480.5,0,0
31003.7,1,0
31004.4,0,1
31005.4,0,0
32530.6,1,0
32531.3,0,1
32532.3,0,0
34055.4,1,0
34056.2,0,1
34057.2,0,0
35582.3,1,0
35583.1,0,1
35584.1,0,0
37107.2,1,0
37107.9,0,1
37108.9,0,0
38634.1,1,0
38634.8,0,1
38635.8,0,0
40159,1,0
40159.7,0,1
40160.7,0,0
41685.8,1,0
41686.6,0,1
41687.6,0,0
43210.7,1,0
43211.5,0,1
43212.5,0,0
44737.6,1,0
44738.3,0,1
44739.3,0,0
46262.5,1,0
46263.2,0,1
46264.2,0,0
47789.3,1,0
47790.1,0,1
47791.1,0,0
49314.2,1,0
49315,0,1
49316,0,0
50841.1,1,0
50841.9,0,1
50842.9,0,0
52366,1,0
52366.7,0,1
52367.7,0,0
53892.9,1,0
53893.6,0,1
53894.6,0,0
55417.7,1,0
55418.5,0,1
55419.5,0,0
56944.6,1,0
56945.4,0,1
56946.4,0,0
58469.5,1,0
58470.2,0,1
58471.2,0,0
59996.4,1,0
59997.1,0,1
59998.1,0,0
61521.3,1,0
61522,0,1
61523,0,0
63048.1,1,0
63048.9,0,1
63049.9,0,0
64573,1,0
64573.8,0,1
64574.8,0,0
66099.9,1,0
66100.6,0,1
66101.6,0,0
67624.8,1,0
67625.5,0,1
67626.5,0,0
69151.7,1,0
69152.4,0,1
69153.4,0,0
70676.5,1,0
70677.3,0,1
70678.3,0,0
72203.4,1,0
72204.2,0,1
72205.2,0,0
73728.3,1,0
73729,0,1
73730,0,0
