Time,from_ingress_queue_size,to_ingress_queue_size
2572.2,1,nan
2572.95,0,nan
2953.67,1,nan
2954.42,0,nan
3572.95,0,1
3573.95,0,0
3954.42,0,1
3956.42,0,0
4574.2,1,0
4574.95,0,0
4955.67,1,0
4956.42,0,0
5574.95,0,1
5576.95,0,0
5956.42,0,1
5957.42,0,0
7146.9,1,0
7147.64,0,0
7529.37,1,0
7530.11,0,0
8147.64,0,1
8148.64,0,0
8530.11,0,1
8532.11,0,0
11721.6,1,0
11722.3,0,0
12107.1,1,0
12107.8,0,0
12722.3,0,1
12723.3,0,0
13107.8,0,1
13109.8,0,0
16296.3,1,0
16297,0,0
16677.8,1,0
16678.5,0,0
17059.2,1,0
17060,0,0
17297,0,1
17298,0,0
17440.7,1,0
17441.4,0,0
17678.5,0,1
17680.5,0,0
18060,0,1
18062,0,0
18441.4,0,1
18443.4,0,0
20871,1,0
20871.7,0,0
21255.5,1,0
21256.2,0,0
21636.9,1,0
21637.7,0,0
21871.7,0,1
21872.7,0,0
22018.4,1,0
22019.1,0,0
22256.2,0,1
22258.2,0,0
22637.7,0,1
22639.7,0,0
23019.1,0,1
23021.1,0,0
25445.7,1,0
25446.4,0,0
25833.1,1,0
25833.9,0,0
26214.6,1,0
26215.4,0,0
26446.4,0,1
26447.4,0,0
26596.1,1,0
26596.8,0,0
26833.9,0,1
26835.9,0,0
27215.4,0,1
27217.4,0,0
27596.8,0,1
27598.8,0,0
30020.4,1,0
30021.1,0,0
30401.8,1,0
30402.6,0,0
30783.3,1,0
30784.1,0,0
31021.1,0,1
31022.1,0,0
31164.8,1,0
31165.5,0,0
31402.6,0,1
31404.6,0,0
31546.3,1,0
31547,0,0
31784.1,0,1
31786.1,0,0
31927.7,1,0
31928.5,0,0
32165.5,0,1
32167.5,0,0
32547,0,1
32549,0,0
32928.5,0,1
32930.5,0,0
34595.1,1,0
34595.8,0,0
34979.5,1,0
34980.3,0,0
35361,1,0
35361.8,0,0
35595.8,0,1
35596.8,0,0
35742.5,1,0
35743.2,0,0
35980.3,0,1
35982.3,0,0
36123.9,1,0
36124.7,0,0
36361.8,0,1
36363.8,0,0
36505.4,1,0
36506.2,0,0
36743.2,0,1
36745.2,0,0
37124.7,0,1
37126.7,0,0
