Time,from_ingress_queue_size,to_ingress_queue_size
3816.7,1,nan
3824.15,0,nan
3825.15,0,0
5816.7,1,0
5824.15,0,0
5825.15,0,0
7726.05,1,0
7733.5,0,0
7734.5,0,0
9633.39,1,0
9640.85,0,0
9641.85,0,1
9643.85,0,0
11559.6,1,0
11567.1,0,0
11568.1,0,0
13471,1,0
13478.4,0,0
13479.4,0,1
13481.4,0,0
15393.2,1,0
15400.7,0,0
15401.7,0,0
17302.6,1,0
17310,0,0
17311,0,0
19209.9,1,0
19217.4,0,0
19218.4,0,0
21117.3,1,0
21124.7,0,0
21125.7,0,0
23024.6,1,0
23032.1,0,0
23033.1,0,0
24932,1,0
24939.4,0,0
24940.4,0,0
26839.3,1,0
26846.8,0,0
26847.8,0,0
28746.7,1,0
28754.1,0,0
28755.1,0,0
30654,1,0
30661.5,0,0
30662.5,0,0
32561.4,1,0
32568.8,0,0
32569.8,0,0
34468.7,1,0
34476.2,0,0
34477.2,0,0
36376.1,1,0
36383.5,0,0
36384.5,0,0
38283.4,1,0
38290.9,0,0
38291.9,0,0
40190.8,1,0
40198.2,0,0
40199.2,0,0
42098.1,1,0
42105.6,0,0
42106.6,0,0
44005.5,1,0
44012.9,0,0
44013.9,0,0
45912.8,1,0
45920.3,0,0
45921.3,0,0
47820.2,1,0
47827.6,0,0
47828.6,0,0
49727.5,1,0
49735,0,0
49736,0,0
51634.9,1,0
51642.3,0,0
51643.3,0,0
53542.2,1,0
53549.7,0,0
53550.7,0,0
55449.6,1,0
55457,0,0
55458,0,0
57356.9,1,0
57364.4,0,0
57365.4,0,0
59264.3,1,0
59271.7,0,0
59272.7,0,0
61171.6,1,0
61179.1,0,0
61180.1,0,0
63079,1,0
63086.4,0,0
63087.4,0,0
64986.3,1,0
64993.8,0,0
64994.8,0,0
66893.7,1,0
66901.1,0,0
66902.1,0,0
68801,1,0
68808.5,0,0
68809.5,0,0
70708.4,1,0
70715.8,0,0
70716.8,0,0
72615.7,1,0
72623.2,0,0
72624.2,0,0
74523.1,1,0
74530.5,0,0
74531.5,0,0
76430.4,1,0
76437.8,0,0
76438.8,0,0
78337.7,1,0
78345.2,0,0
78346.2,0,0
80245.1,1,0
80252.5,0,0
80253.5,0,0
82152.4,1,0
82159.9,0,0
82160.9,0,0
84059.8,1,0
84067.2,0,0
84068.2,0,0
85967.1,1,0
85974.6,0,0
85975.6,0,0
87874.5,1,0
87881.9,0,0
87882.9,0,0
89781.8,1,0
89789.3,0,0
89790.3,0,0
91689.2,1,0
91696.6,0,0
91697.6,0,0
93596.5,1,0
93604,0,0
93605,0,0
95503.9,1,0
95511.3,0,0
95512.3,0,0
97411.2,1,0
97418.7,0,0
97419.7,0,0
99318.6,1,0
99326,0,0
99327,0,0
101226,1,0
101233,0,0
101234,0,0
103133,1,0
103141,0,0
103142,0,0
105041,1,0
105048,0,0
105049,0,0
106948,1,0
106955,0,0
106956,0,0
108855,1,0
108863,0,0
108864,0,0
110763,1,0
110770,0,0
110771,0,0
112670,1,0
112677,0,0
112678,0,0
114577,1,0
114585,0,0
114586,0,0
116485,1,0
116492,0,0
116493,0,0
118392,1,0
118400,0,0
118401,0,0
120299,1,0
120307,0,0
120308,0,0
122207,1,0
122214,0,0
122215,0,0
124114,1,0
124122,0,0
124123,0,0
126021,1,0
126029,0,0
126030,0,0
127929,1,0
127936,0,0
127937,0,0
129836,1,0
129844,0,0
129845,0,0
131744,1,0
131751,0,0
131752,0,0
133651,1,0
133658,0,0
133659,0,0
135558,1,0
135566,0,0
135567,0,0
137466,1,0
137473,0,0
137474,0,0
139373,1,0
139380,0,0
139381,0,0
141280,1,0
141288,0,0
141289,0,0
143188,1,0
143195,0,0
143196,0,0
145095,1,0
145102,0,0
145103,0,0
147002,1,0
147010,0,0
147011,0,0
148910,1,0
148917,0,0
148918,0,0
150817,1,0
150824,0,0
150825,0,0
152724,1,0
152732,0,0
152733,0,0
154632,1,0
154639,0,0
154640,0,0
156539,1,0
156546,0,0
156547,0,0
158446,1,0
158454,0,0
158455,0,0
160354,1,0
160361,0,0
160362,0,0
162261,1,0
162269,0,0
162270,0,0
164168,1,0
164176,0,0
164177,0,0
166076,1,0
166083,0,0
166084,0,0
167983,1,0
167991,0,0
167992,0,0
169890,1,0
169898,0,0
169899,0,0
171798,1,0
171805,0,0
171806,0,0
173705,1,0
173713,0,0
173714,0,0
175613,1,0
175620,0,0
175621,0,0
177520,1,0
177527,0,0
177528,0,0
179427,1,0
179435,0,0
179436,0,0
181335,1,0
181342,0,0
181343,0,0
183242,1,0
183249,0,0
183250,0,0
185149,1,0
185157,0,0
185158,0,0
187057,1,0
187064,0,0
187065,0,0
188964,1,0
188971,0,0
188972,0,0
190871,1,0
190879,0,0
190880,0,0
192779,1,0
192786,0,0
192787,0,0
194686,1,0
194693,0,0
194694,0,0
196593,1,0
196601,0,0
196602,0,0
198501,1,0
198508,0,0
198509,0,0
200408,1,0
200416,0,0
200417,0,0
202315,1,0
202323,0,0
202324,0,0
204223,1,0
204230,0,0
204231,0,0
206130,1,0
206138,0,0
206139,0,0
208037,1,0
208045,0,0
208046,0,0
209945,1,0
209952,0,0
209953,0,0
211852,1,0
211860,0,0
211861,0,0
213760,1,0
