Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 22.5105, 21.6447, 344222

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 25.5582, 24.8138, 300260

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.9775, 20.3665, 365826

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9997, 19.4172, 383710
