Time,from_ingress_queue_size,to_ingress_queue_size
6103.52,4096,nan
9155.27,4096,4096
9156.27,4096,0
12207,4096,4096
12208,4096,0
15258.8,0,4096
15259.8,0,0
15263,4096,0
18314.8,4096,4096
18315.8,4096,0
21366.5,0,4096
21367.5,0,0
24422.5,4096,0
27474.3,4096,4096
27475.3,4096,0
30526,0,4096
30527,0,0
33582,4096,0
36633.8,4096,4096
36634.8,4096,0
39685.6,4096,4096
39686.6,4096,0
42737.3,0,4096
42738.3,0,0
42741.6,4096,0
45793.3,4096,4096
45794.3,4096,0
48845.1,4096,4096
48846.1,4096,0
51896.8,4096,4096
51897.8,4096,0
54948.6,4096,4096
54949.6,4096,0
58000.3,4096,4096
58001.3,4096,0
61052.1,4096,4096
61053.1,4096,0
64103.9,4096,4096
64104.9,4096,0
67155.6,4096,4096
67156.6,4096,0
70207.4,4096,4096
70208.4,4096,0
73259.1,4096,4096
73260.1,4096,0
76310.9,4096,4096
76311.9,4096,0
79362.6,4096,4096
79363.6,4096,0
82414.4,4096,4096
82415.4,4096,0
85466.2,4096,4096
85467.2,4096,0
88517.9,4096,4096
88518.9,4096,0
91569.7,4096,4096
91570.7,4096,0
94621.4,4096,4096
94622.4,4096,0
97673.2,4096,4096
97674.2,4096,0
100725,4096,4096
100726,4096,0
103777,4096,4096
103778,4096,0
106828,4096,4096
106829,4096,0
109880,4096,4096
109881,4096,0
112932,4096,4096
112933,4096,0
115984,4096,4096
115985,4096,0
119035,4096,4096
119036,4096,0
122087,4096,4096
122088,4096,0
125139,4096,4096
125140,4096,0
128191,4096,4096
128192,4096,0
131243,4096,4096
131244,4096,0
134294,4096,4096
134295,4096,0
137346,4096,4096
137347,4096,0
140398,4096,4096
140399,4096,0
143450,4096,4096
143451,4096,0
146501,0,4096
146502,0,0
146506,4096,0
149557,4096,4096
149558,4096,0
152609,4096,4096
152610,4096,0
155661,0,4096
155662,0,0
155665,4096,0
158717,4096,4096
158718,4096,0
161769,4096,4096
161770,4096,0
164820,0,4096
164821,0,0
167876,4096,0
170928,4096,4096
170929,4096,0
173980,0,4096
173981,0,0
175023,4096,0
178075,0,4096
178076,0,0
180088,4096,0
183139,0,4096
183140,0,0
184183,4096,0
187235,0,4096
187236,0,0
189247,4096,0
192299,4096,4096
192300,4096,0
195351,4096,4096
195352,4096,0
198402,0,4096
198403,0,0
198407,4096,0
201458,4096,4096
201459,4096,0
204510,4096,4096
204511,4096,0
207562,4096,4096
207563,4096,0
210614,4096,4096
210615,4096,0
213665,4096,4096
213666,4096,0
216717,4096,4096
216718,4096,0
219769,4096,4096
219770,4096,0
222821,4096,4096
222822,4096,0
225872,4096,4096
225873,4096,0
228924,4096,4096
228925,4096,0
231976,4096,4096
231977,4096,0
235028,4096,4096
235029,4096,0
238079,4096,4096
238080,4096,0
241131,4096,4096
241132,4096,0
244183,4096,4096
244184,4096,0
247235,4096,4096
247236,4096,0
250286,4096,4096
250287,4096,0
253338,4096,4096
253339,4096,0
256390,4096,4096
256391,4096,0
259442,4096,4096
259443,4096,0
262494,4096,4096
262495,4096,0
265545,4096,4096
265546,4096,0
268597,4096,4096
268598,4096,0
271649,4096,4096
271650,4096,0
274701,4096,4096
274702,4096,0
277752,4096,4096
277753,4096,0
280804,4096,4096
280805,4096,0
283856,4096,4096
283857,4096,0
286908,4096,4096
286909,4096,0
289959,4096,4096
289960,4096,0
293011,4096,4096
293012,4096,0
296063,4096,4096
296064,4096,0
299115,4096,4096
299116,4096,0
302166,0,4096
302167,0,0
302171,4096,0
305222,4096,4096
305223,4096,0
308274,4096,4096
308275,4096,0
311326,0,4096
311327,0,0
311330,4096,0
314382,4096,4096
314383,4096,0
317434,4096,4096
317435,4096,0
320485,0,4096
320486,0,0
323541,4096,0
326593,4096,4096
326594,4096,0
329645,0,4096
329646,0,0
330765,4096,0
333817,0,4096
333818,0,0
335753,4096,0
338804,0,4096
338805,0,0
339925,4096,0
342977,0,4096
342978,0,0
344912,4096,0
347964,4096,4096
347965,4096,0
351016,4096,4096
351017,4096,0
354067,0,4096
354068,0,0
354072,4096,0
357123,4096,4096
357124,4096,0
360175,4096,4096
360176,4096,0
363227,4096,4096
