Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn_from_pod1_host1_to_pod1_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186814, 0.0184828, 6.19175e+08

conn_from_pod1_host1_to_pod1_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187127, 0.0185138, 6.18139e+08

conn_from_pod1_host1_to_pod1_host4_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0183634, 0.0181858, 6.29288e+08

conn_from_pod1_host1_to_pod1_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186555, 0.0184572, 6.20034e+08

conn_from_pod1_host1_to_pod1_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188022, 0.0186024, 6.15194e+08

conn_from_pod1_host1_to_pod1_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183119, 0.0181173, 6.31666e+08

conn_from_pod1_host1_to_pod1_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186393, 0.0184412, 6.20571e+08

conn_from_pod1_host1_to_pod1_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188561, 0.0186557, 6.13436e+08

conn_from_pod1_host1_to_pod2_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188591, 0.0186587, 6.1334e+08

conn_from_pod1_host1_to_pod2_host2_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.018744, 0.0185627, 6.16511e+08

conn_from_pod1_host1_to_pod2_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187633, 0.0185639, 6.16471e+08

conn_from_pod1_host1_to_pod2_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188424, 0.0186422, 6.13882e+08

conn_from_pod1_host1_to_pod2_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183842, 0.0181889, 6.29182e+08

conn_from_pod1_host1_to_pod2_host6_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0188366, 0.0186544, 6.13479e+08

conn_from_pod1_host1_to_pod2_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183575, 0.0181624, 6.30099e+08

conn_from_pod1_host1_to_pod2_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018777, 0.0185775, 6.1602e+08

conn_from_pod1_host1_to_pod2_host9_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0185898, 0.01841, 6.21625e+08

conn_from_pod1_host1_to_pod3_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182826, 0.0180883, 6.32679e+08

conn_from_pod1_host1_to_pod3_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186369, 0.0184389, 6.20651e+08

conn_from_pod1_host1_to_pod3_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186527, 0.0184544, 6.20127e+08

conn_from_pod1_host1_to_pod3_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188286, 0.0186285, 6.14334e+08

conn_from_pod1_host1_to_pod3_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188626, 0.0186622, 6.13225e+08

conn_from_pod1_host1_to_pod3_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186262, 0.0184282, 6.21009e+08

conn_from_pod1_host1_to_pod3_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188604, 0.01866, 6.13296e+08

conn_from_pod1_host1_to_pod3_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187481, 0.0185489, 6.16969e+08

conn_from_pod1_host1_to_pod3_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018503, 0.0183063, 6.25144e+08

conn_from_pod1_host1_to_pod4_host1_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.018756, 0.0185746, 6.16115e+08

conn_from_pod1_host1_to_pod4_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018864, 0.0186636, 6.13178e+08

conn_from_pod1_host1_to_pod4_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187981, 0.0185983, 6.15329e+08

conn_from_pod1_host1_to_pod4_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188627, 0.0186622, 6.13223e+08

conn_from_pod1_host1_to_pod4_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182445, 0.0180506, 6.34e+08

conn_from_pod1_host1_to_pod4_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.01862, 0.0184221, 6.21216e+08

