Time,from_ingress_queue_size,to_ingress_queue_size
954.674,128,nan
1908.35,0,nan
1909.35,0,0
1910.35,128,0
2864.02,128,0
2865.02,128,0
3817.7,128,0
3818.7,128,0
4771.37,128,0
4772.37,128,0
5725.05,128,0
5726.05,128,0
6678.72,128,0
6679.72,128,0
7632.39,128,0
7633.39,128,0
8586.07,128,0
8587.07,128,0
9539.74,128,0
9540.74,128,0
10493.4,128,0
10494.4,128,0
11447.1,128,0
11448.1,128,0
12400.8,128,0
12401.8,128,0
13354.4,128,0
13355.4,128,0
14308.1,128,0
14309.1,128,0
15261.8,128,0
15262.8,128,0
16215.5,128,0
16216.5,128,0
17169.1,128,0
17170.1,128,0
18122.8,128,0
18123.8,128,0
19076.5,128,0
19077.5,128,0
20030.2,128,0
20031.2,128,0
20983.8,128,0
20984.8,128,0
21937.5,128,0
21938.5,128,0
22891.2,128,0
22892.2,128,0
23844.9,128,0
23845.9,128,0
24798.5,128,0
24799.5,128,0
25752.2,128,0
25753.2,128,0
26705.9,128,0
26706.9,128,0
27659.6,128,0
27660.6,128,0
28613.2,128,0
28614.2,128,0
29566.9,128,0
29567.9,128,0
30520.6,128,0
30521.6,128,0
31474.3,128,0
31475.3,128,0
32427.9,128,0
32428.9,128,0
33381.6,128,0
33382.6,128,0
34335.3,128,0
34336.3,128,0
35288.9,128,0
35289.9,128,0
36242.6,128,0
36243.6,128,0
37196.3,128,0
37197.3,128,0
38150,128,0
38151,128,0
39103.6,128,0
39104.6,128,0
40057.3,128,0
40058.3,128,0
41011,128,0
41012,128,0
41964.7,128,0
41965.7,128,0
42918.3,128,0
42919.3,128,0
43872,128,0
43873,128,0
44825.7,128,0
44826.7,128,0
45779.4,128,0
45780.4,128,0
46733,128,0
46734,128,0
47686.7,128,0
47687.7,128,0
48640.4,128,0
48641.4,128,0
49594.1,128,0
49595.1,128,0
50547.7,0,0
50548.7,0,0
69087.4,128,0
70041.1,128,0
70042.1,128,0
70994.8,128,0
70995.8,128,0
71948.5,128,0
71949.5,128,0
72902.1,128,0
72903.1,128,0
73855.8,128,0
73856.8,128,0
74809.5,128,0
74810.5,128,0
75763.2,128,0
75764.2,128,0
76716.8,128,0
76717.8,128,0
77670.5,128,0
77671.5,128,0
78624.2,128,0
78625.2,128,0
79577.9,128,0
79578.9,128,0
80531.5,128,0
80532.5,128,0
81484.2,256,0
81485.2,128,0
81486.2,128,0
82437.9,256,0
82438.9,128,0
82439.9,128,0
83391.6,256,0
83392.6,128,0
83393.6,128,0
84345.2,256,0
84346.2,128,0
84347.2,128,0
85298.9,256,0
85299.9,128,0
85300.9,128,0
86252.6,256,0
86253.6,128,0
86254.6,128,0
87206.3,256,0
87207.3,128,0
87208.3,128,0
88159.9,256,0
88160.9,128,0
88161.9,128,0
89113.6,256,0
89114.6,128,0
89115.6,128,0
90067.3,256,0
90068.3,128,0
90069.3,128,0
91021,256,0
91022,128,0
91023,128,0
91974.6,256,0
91975.6,128,0
91976.6,128,0
92928.3,256,0
92929.3,128,0
92930.3,128,0
93882,256,0
93883,128,0
93884,128,0
94835.7,256,0
94836.7,128,0
94837.7,128,0
95789.3,256,0
95790.3,128,0
95791.3,128,0
96743,256,0
96744,128,0
96745,128,0
97696.7,256,0
97697.7,128,0
97698.7,128,0
98650.4,256,0
98651.4,128,0
98652.4,128,0
99605,0,0
99606,0,0
142635,128,0
143589,0,0
143590,0,0
143591,128,0
144542,256,0
144544,128,0
144545,128,0
145496,256,0
145498,128,0
145499,128,0
146450,256,0
146452,128,0
146453,128,0
147403,256,0
147405,128,0
147406,128,0
148357,256,0
148359,128,0
148360,128,0
149311,256,0
149313,128,0
149314,128,0
150264,256,0
150266,128,0
150267,128,0
151218,256,0
151220,128,0
151221,128,0
152172,256,0
152174,128,0
152175,128,0
153125,256,0
153127,128,0
153128,128,0
154079,256,0
154081,128,0
154082,128,0
155033,256,0
155035,128,0
155036,128,0
155986,256,0
155988,128,0
155989,128,0
156940,256,0
156942,128,0
156943,128,0
157894,256,0
157896,128,0
157897,128,0
158847,256,0
158849,128,0
158850,128,0
159801,256,0
159803,128,0
159804,128,0
160755,256,0
160757,128,0
160758,128,0
161708,256,0
161710,128,0
161711,128,0
162662,256,0
162664,128,0
162665,128,0
163616,256,0
163618,128,0
163619,128,0
164569,256,0
164571,128,0
164572,128,0
165523,256,0
165525,128,0
165526,128,0
166477,256,0
166479,128,0
166480,128,0
167430,256,0
167432,128,0
167433,128,0
168384,256,0
168386,128,0
168387,128,0
169340,0,0
169341,0,0
