Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
2000,10000,0
2240.32,20000,0
2241.32,30000,0
2745.06,20000,0
3490.12,10000,0
4235.17,0,10000
4239.17,0,0
6720.97,10000,0
6721.97,20000,0
7466.03,10000,10000
7467.03,10000,0
8211.09,0,0
9690.9,10000,0
10436,0,10000
10437,0,0
11179,10000,0
11924.1,0,10000
11925.1,0,0
22355.9,10000,0
23100.9,0,10000
23103.9,0,0
23845,10000,0
23846,20000,0
24590.1,10000,10000
24591.1,10000,0
25335.1,0,10000
25337,0,0
33532.8,10000,0
34277.8,0,10000
34278.8,0,0
35020.9,10000,0
35764.9,20000,0
35765.9,20000,10000
35766.9,20000,0
36511,10000,10000
36512.9,10000,0
37256.1,0,10000
37258,0,0
42472.5,10000,0
43217.5,0,10000
43219.4,0,0
43961.6,10000,0
44705.6,20000,0
44706.6,10000,10000
44707.6,10000,0
45451.7,10000,10000
45453.6,10000,0
46196.7,0,10000
46198.7,0,0
52899.3,10000,0
52900.3,20000,0
53644.3,10000,10000
53650.3,10000,0
54389.4,0,10000
54392.4,10000,10000
54394.3,10000,0
55136.4,20000,0
55137.4,10000,10000
55138.4,10000,0
55881.5,20000,0
55882.5,10000,10000
55883.5,10000,0
56627.6,0,10000
56629.5,0,0
65569.3,10000,0
66314.3,10000,10000
66315.3,20000,10000
66316.2,20000,0
67059.4,10000,10000
67060.4,10000,0
67803.4,20000,0
67804.4,10000,10000
67805.4,10000,0
68549.5,0,10000
68550.5,0,0
81215.5,10000,0
81216.5,20000,0
81960.5,20000,10000
81962.5,20000,0
82705.6,10000,10000
82706.6,10000,0
83449.7,20000,0
83450.7,10000,10000
83451.6,10000,0
84195.7,0,10000
84196.7,0,0
93881.5,10000,0
94626.5,10000,10000
94628.4,10000,0
95371.6,0,10000
95373.5,0,0
107293,10000,0
107294,20000,0
108038,10000,10000
108039,10000,0
108782,20000,0
108783,10000,10000
108784,10000,0
109528,0,10000
109529,0,0
119213,10000,0
119958,0,10000
119960,0,0
120703,10000,0
121448,0,10000
121451,0,0
122193,10000,0
122194,20000,0
122938,10000,10000
122941,10000,0
123683,0,10000
123685,0,0
132624,10000,0
133370,0,10000
133371,0,0
134114,10000,0
134859,0,10000
134862,0,0
135604,10000,0
136349,0,10000
136350,10000,10000
136351,20000,10000
136352,20000,0
137095,10000,10000
137096,10000,0
137840,0,10000
137841,0,0
148271,10000,0
149016,0,10000
149018,0,0
149761,10000,0
150506,0,10000
150508,0,0
151250,10000,0
151995,0,10000
151996,10000,10000
151998,10000,0
152741,0,10000
152742,0,0
164662,10000,0
165407,0,10000
165409,0,0
166151,10000,0
166896,0,10000
166897,10000,10000
166899,10000,0
167642,0,10000
167643,0,0
178073,10000,0
178818,0,10000
178820,0,0
180308,10000,0
180309,20000,0
181053,20000,10000
181055,20000,0
181798,10000,10000
181799,10000,0
182543,0,10000
182544,0,0
190740,10000,0
191485,0,10000
191487,0,0
193719,10000,0
194464,10000,10000
194465,20000,10000
194466,20000,0
195208,30000,0
195209,20000,10000
195210,20000,0
195954,10000,10000
195955,10000,0
196699,0,10000
196700,0,0
203401,10000,0
204146,0,10000
204152,0,0
205640,10000,0
206385,10000,10000
206387,10000,0
207129,20000,0
207130,10000,10000
207131,10000,0
207874,20000,0
207875,20000,10000
207876,20000,0
208620,10000,10000
208621,10000,0
209365,0,10000
209366,0,0
216072,10000,0
216817,0,10000
216818,0,0
218307,10000,0
219052,10000,10000
219054,10000,0
219795,20000,0
219797,10000,10000
219798,10000,0
220540,20000,0
220542,10000,10000
220543,10000,0
221285,20000,0
221286,30000,0
221287,20000,10000
221288,20000,0
222032,10000,10000
222033,10000,0
222778,0,10000
222783,0,0
228737,10000,0
229482,10000,10000
229484,10000,0
230226,20000,0
230227,10000,10000
230228,10000,0
230971,20000,0
230972,10000,10000
230973,10000,0
231716,20000,0
231717,10000,10000
231718,10000,0
232461,20000,0
232462,10000,10000
232463,10000,0
233207,0,10000
233208,0,0
233951,10000,0
233952,20000,0
234696,10000,10000
234697,10000,0
235441,0,10000
235443,0,0
242889,10000,0
243634,0,10000
243640,0,0
246619,10000,0
246620,20000,0
247364,10000,10000
247366,10000,0
248107,20000,0
248109,10000,10000
248110,10000,0
248852,20000,0
248855,10000,10000
248856,10000,0
249600,0,10000
249601,0,0
259285,10000,0
260030,0,10000
260032,0,0
262266,10000,0
263008,20000,0
263011,10000,10000
263012,10000,0
263756,0,10000
263757,0,0
268225,10000,0
268970,0,10000
268971,0,0
269714,10000,0
270459,0,10000
270460,0,0
271203,10000,0
271204,20000,0
271948,10000,10000
271950,10000,0
272693,0,10000
272696,0,0
277907,10000,0
278652,0,10000
278654,0,0
279400,10000,0
280145,0,10000
280146,0,0
281634,10000,0
282379,10000,10000
282380,20000,10000
282381,20000,0
283124,10000,10000
283126,10000,0
283869,0,10000
283872,0,0
290577,10000,0
291322,0,10000
291325,0,0
292066,10000,0
292811,0,10000
292812,0,0
294303,10000,0
295048,0,10000
295050,0,0
