Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 24.7618, 23.8094, 312926

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 24.939, 24.2127, 307714

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.7296, 21.0967, 353163

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.0777, 19.4929, 382220
