Time,from_ingress_queue_size,to_ingress_queue_size
9156.27,1,nan
9157.02,0,0
12208,1,0
12208.8,0,0
15259.8,1,0
15260.5,0,0
18315.8,1,0
18316.5,0,0
21367.5,1,0
21368.3,0,0
27475.3,1,0
27476,0,0
30527,1,0
30527.8,0,0
36634.8,1,0
36635.5,0,0
39686.6,1,0
39687.3,0,0
42738.3,1,0
42739.1,0,0
45794.3,1,0
45795.1,0,0
48846.1,1,0
48846.8,0,0
51897.8,1,0
51898.6,0,0
54949.6,1,0
54950.3,0,0
58001.3,1,0
58002.1,0,0
61053.1,1,0
61053.8,0,0
64104.9,1,0
64105.6,0,0
67156.6,1,0
67157.4,0,0
70208.4,1,0
70209.1,0,0
73260.1,1,0
73260.9,0,0
76311.9,1,0
76312.6,0,0
79363.6,1,0
79364.4,0,0
82415.4,1,0
82416.1,0,0
85467.2,1,0
85467.9,0,0
88518.9,1,0
88519.7,0,0
91570.7,1,0
91571.4,0,0
94622.4,1,0
94623.2,0,0
97674.2,1,0
97674.9,0,0
100726,1,0
100727,0,0
103778,1,0
103778,0,0
106829,1,0
106830,0,0
109881,1,0
109882,0,0
112933,1,0
112934,0,0
115985,1,0
115985,0,0
119036,1,0
119037,0,0
122088,1,0
122089,0,0
125140,1,0
125141,0,0
128192,1,0
128193,0,0
131244,1,0
131244,0,0
134295,1,0
134296,0,0
137347,1,0
137348,0,0
140399,1,0
140400,0,0
143451,1,0
143451,0,0
146502,1,0
146503,0,0
149558,1,0
149559,0,0
152610,1,0
152611,0,0
155662,1,0
155663,0,0
158718,1,0
158719,0,0
161770,1,0
161770,0,0
164821,1,0
164822,0,0
170929,1,0
170930,0,0
173981,1,0
173982,0,0
178076,1,0
178077,0,0
183140,1,0
183141,0,0
187236,1,0
187236,0,0
192300,1,0
192301,0,0
195352,1,0
195352,0,0
198403,1,0
198404,0,0
201459,1,0
201460,0,0
204511,1,0
204512,0,0
207563,1,0
207564,0,0
210615,1,0
210615,0,0
213666,1,0
213667,0,0
216718,1,0
216719,0,0
219770,1,0
219771,0,0
222822,1,0
222822,0,0
225873,1,0
225874,0,0
228925,1,0
228926,0,0
231977,1,0
231978,0,0
235029,1,0
235029,0,0
238080,1,0
238081,0,0
241132,1,0
241133,0,0
244184,1,0
244185,0,0
247236,1,0
247236,0,0
250287,1,0
250288,0,0
253339,1,0
253340,0,0
256391,1,0
256392,0,0
259443,1,0
259444,0,0
262495,1,0
262495,0,0
265546,1,0
265547,0,0
268598,1,0
268599,0,0
271650,1,0
271651,0,0
274702,1,0
274702,0,0
277753,1,0
277754,0,0
280805,1,0
280806,0,0
283857,1,0
283858,0,0
286909,1,0
286909,0,0
